ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
HtanHsan-13_tree-1-1,HtanHsan-13_tree-1,ɗɨŋ hej,1-13,false,expert,Deepadung2015,,,
PangKham-13_tree-1-1,PangKham-13_tree-1,hej,1-13,false,expert,Deepadung2015,,,
ManLoi-13_tree-1-1,ManLoi-13_tree-1,daŋ heː,1-13,false,expert,Deepadung2015,,,
MengDan-13_tree-1-1,MengDan-13_tree-1,hi,2-13,false,expert,Deepadung2015,,,
ChuDongGua-13_tree-1-1,ChuDongGua-13_tree-1,hi,2-13,false,expert,Deepadung2015,,,
XiangZhaiTang-13_tree-1-1,XiangZhaiTang-13_tree-1,daŋhej,1-13,false,expert,Deepadung2015,,,
PongNuea-13_tree-1-1,PongNuea-13_tree-1,hej,1-13,false,expert,Deepadung2015,,,
NyaungGone-13_tree-1-1,NyaungGone-13_tree-1,he,2-13,false,expert,Deepadung2015,,,
NoeLae-13_tree-1-1,NoeLae-13_tree-1,he,2-13,false,expert,Deepadung2015,,,
BanPaw-13_tree-1-1,BanPaw-13_tree-1,he,2-13,false,expert,Deepadung2015,,,
ChaYeQing-13_tree-1-1,ChaYeQing-13_tree-1,hɔːj,3-13,false,expert,Deepadung2015,,,
GuangKa-13_tree-1-1,GuangKa-13_tree-1,taŋhɔːj,3-13,false,expert,Deepadung2015,,,
MangBang-13_tree-1-1,MangBang-13_tree-1,taŋhɔːj,3-13,false,expert,Deepadung2015,,,
NanSang-13_tree-1-1,NanSang-13_tree-1,taŋhɔj,3-13,false,expert,Deepadung2015,,,
NamHsan-14_root-1-1,NamHsan-14_root-1,riah,1-14,false,expert,Deepadung2015,,,
KhunHawt-14_root-1-1,KhunHawt-14_root-1,riah,1-14,false,expert,Deepadung2015,,,
HtanHsan-14_root-1-1,HtanHsan-14_root-1,riah hej,1-14,false,expert,Deepadung2015,,,
PangKham-14_root-1-1,PangKham-14_root-1,riah,1-14,false,expert,Deepadung2015,,,
ManLoi-14_root-1-1,ManLoi-14_root-1,riah hej,1-14,false,expert,Deepadung2015,,,
MengDan-14_root-1-1,MengDan-14_root-1,riah hiː,1-14,false,expert,Deepadung2015,,,
ChuDongGua-14_root-1-1,ChuDongGua-14_root-1,riahhi,1-14,false,expert,Deepadung2015,,,
XiangZhaiTang-14_root-1-1,XiangZhaiTang-14_root-1,riahhej,1-14,false,expert,Deepadung2015,,,
PongNuea-14_root-1-1,PongNuea-14_root-1,riah,1-14,false,expert,Deepadung2015,,,
NyaungGone-14_root-1-1,NyaungGone-14_root-1,riah,1-14,false,expert,Deepadung2015,,,
